empid,fname,lname,supervisorid,pto,payday,payamount
1,John,Doe,,32,2024-10-18,950.0
1,John,Doe,,40,2024-11-01,950.0
1,John,Doe,,48,2024-11-15,950.0
1,John,Doe,,56,2024-11-29,950.0
1,John,Doe,,64,2024-12-13,950.0
2,Jane,Smith,1,24,2024-10-18,950.0
2,Jane,Smith,1,32,2024-11-01,950.0
2,Jane,Smith,1,40,2024-11-15,950.0
2,Jane,Smith,1,48,2024-11-29,950.0
2,Jane,Smith,1,56,2024-12-13,950.0
3,Michael,Johnson,1,16,2024-10-18,950.0
3,Michael,Johnson,1,24,2024-11-01,950.0
3,Michael,Johnson,1,32,2024-11-15,950.0
3,Michael,Johnson,1,40,2024-11-29,950.0
3,Michael,Johnson,1,48,2024-12-13,950.0
4,Emily,Williams,1,8,2024-10-18,902.5
4,Emily,Williams,1,16,2024-11-01,902.5
4,Emily,Williams,1,24,2024-11-15,902.5
4,Emily,Williams,1,32,2024-11-29,902.5
4,Emily,Williams,1,40,2024-12-13,902.5
5,David,Brown,1,40,2024-10-18,902.5
5,David,Brown,1,48,2024-11-01,902.5
5,David,Brown,1,56,2024-11-15,902.5
5,David,Brown,1,64,2024-11-29,902.5
5,David,Brown,1,72,2024-12-13,902.5
6,Jessica,Jones,1,32,2024-10-18,902.5
6,Jessica,Jones,1,40,2024-11-01,902.5
6,Jessica,Jones,1,48,2024-11-15,902.5
6,Jessica,Jones,1,56,2024-11-29,902.5
6,Jessica,Jones,1,64,2024-12-13,902.5
7,Daniel,Garcia,2,24,2024-10-18,857.38
7,Daniel,Garcia,2,32,2024-11-01,857.38
7,Daniel,Garcia,2,40,2024-11-15,857.38
7,Daniel,Garcia,2,48,2024-11-29,857.38
7,Daniel,Garcia,2,56,2024-12-13,857.38
8,Ashley,Miller,2,16,2024-10-18,857.38
8,Ashley,Miller,2,24,2024-11-01,857.38
8,Ashley,Miller,2,32,2024-11-15,857.38
8,Ashley,Miller,2,40,2024-11-29,857.38
8,Ashley,Miller,2,48,2024-12-13,857.38
9,Matthew,Martinez,2,8,2024-10-18,857.38
9,Matthew,Martinez,2,16,2024-11-01,857.38
9,Matthew,Martinez,2,24,2024-11-15,857.38
9,Matthew,Martinez,2,32,2024-11-29,857.38
9,Matthew,Martinez,2,40,2024-12-13,857.38
10,Laura,Wilson,3,40,2024-10-18,814.51
10,Laura,Wilson,3,48,2024-11-01,814.51
10,Laura,Wilson,3,56,2024-11-15,814.51
10,Laura,Wilson,3,64,2024-11-29,814.51
10,Laura,Wilson,3,72,2024-12-13,814.51
11,James,Anderson,3,32,2024-10-18,814.51
11,James,Anderson,3,40,2024-11-01,814.51
11,James,Anderson,3,48,2024-11-15,814.51
11,James,Anderson,3,56,2024-11-29,814.51
11,James,Anderson,3,64,2024-12-13,814.51
12,Sarah,Thomas,3,24,2024-10-18,814.51
12,Sarah,Thomas,3,32,2024-11-01,814.51
